,Node1,Relation,Node2
19738,labor camp,CLOSELY_RELATED_TO,human factors
19739,labor camp,SUBJECT,penal imprisonment
19740,labor camp,SUBJECT,internments
19741,labor camp,SUBJECT,penal labour
19742,penal labour,CLOSELY_RELATED_TO,human factors
19743,penal labour,SUBJECT,slavery by type
19744,penal labour,SUBJECT,penal imprisonment
19745,penal labour,SUBJECT,penal labour
19746,peon,CLOSELY_RELATED_TO,human factors
19747,peon,SUBJECT,slavery by type
19748,peon,SUBJECT,labor rights
19749,peon,SUBJECT,legal terminology
19750,peon,SUBJECT,debt bondage
19751,peon,SUBJECT,slavery of native americans
19752,truck system,CLOSELY_RELATED_TO,human factors
19753,truck system,SUBJECT,payment systems
19754,truck system,SUBJECT,wages and salaries
19755,unfree labour,CLOSELY_RELATED_TO,human factors
19756,unfree labour,SUBJECT,business ethics
19757,unfree labour,SUBJECT,working conditions
19758,unfree labour,SUBJECT,unfree labour
19759,wage slavery,CLOSELY_RELATED_TO,human factors
19760,wage slavery,SUBJECT,criticism of work
19761,wage slavery,SUBJECT,marxist terminology
19762,wage slavery,SUBJECT,slavery by type
19763,wage slavery,SUBJECT,ethically disputed business practices
19764,wage slavery,SUBJECT,socialism
19765,workaholic,CLOSELY_RELATED_TO,human factors
19766,workaholic,SUBJECT,working time
19767,workaholic,SUBJECT,obsessive–compulsive disorder
19768,work aversion,CLOSELY_RELATED_TO,human factors
19769,work aversion,SUBJECT,anxiety disorders
19770,work aversion,SUBJECT,refusal of work
19771,work aversion,SUBJECT,occupational diseases
19772,work ethic,CLOSELY_RELATED_TO,human factors
19773,work ethic,SUBJECT,applied ethics
19774,work ethic,SUBJECT,working time
19775,work–life balance,CLOSELY_RELATED_TO,human factors
19776,work–life balance,SUBJECT,work–life balance
19777,downshifting (lifestyle),CLOSELY_RELATED_TO,human factors
19778,slow living,CLOSELY_RELATED_TO,human factors
19779,slow living,SUBJECT,slow movement
19780,downshifting (lifestyle),CLOSELY_RELATED_TO,human factors
19781,slow living,CLOSELY_RELATED_TO,human factors
19782,slow living,SUBJECT,slow movement
19783,debt bondage,CLOSELY_RELATED_TO,human factors
19784,debt bondage,SUBJECT,slavery by type
19785,debt bondage,SUBJECT,child labour
19786,debt bondage,SUBJECT,commercial crimes
19787,debt bondage,SUBJECT,ethically disputed business practices
19788,debt bondage,SUBJECT,debt bondage
19789,human trafficking,CLOSELY_RELATED_TO,human factors
19790,human trafficking,SUBJECT,global issues
19791,human trafficking,SUBJECT,human trafficking
19792,human trafficking,SUBJECT,articles with inconsistent citation formats
19793,human trafficking,SUBJECT,crimes against humanity
19794,human trafficking,SUBJECT,human rights abuses
19795,human trafficking,SUBJECT,organized crime activity
19796,human trafficking,SUBJECT,sex crimes
19797,human trafficking,SUBJECT,violence against women
19798,human trafficking,SUBJECT,debt bondage
19799,human trafficking,SUBJECT,violence against men
19800,labor camp,CLOSELY_RELATED_TO,human factors
19801,labor camp,SUBJECT,penal imprisonment
19802,labor camp,SUBJECT,internments
19803,labor camp,SUBJECT,penal labour
19804,penal labour,CLOSELY_RELATED_TO,human factors
19805,penal labour,SUBJECT,slavery by type
19806,penal labour,SUBJECT,penal imprisonment
19807,penal labour,SUBJECT,penal labour
19808,peon,CLOSELY_RELATED_TO,human factors
19809,peon,SUBJECT,slavery by type
19810,peon,SUBJECT,labor rights
19811,peon,SUBJECT,legal terminology
19812,peon,SUBJECT,debt bondage
19813,peon,SUBJECT,slavery of native americans
19814,truck system,CLOSELY_RELATED_TO,human factors
19815,truck system,SUBJECT,payment systems
19816,truck system,SUBJECT,wages and salaries
19817,unfree labour,CLOSELY_RELATED_TO,human factors
19818,unfree labour,SUBJECT,business ethics
19819,unfree labour,SUBJECT,working conditions
19820,unfree labour,SUBJECT,unfree labour
19821,wage slavery,CLOSELY_RELATED_TO,human factors
19822,wage slavery,SUBJECT,criticism of work
19823,wage slavery,SUBJECT,marxist terminology
19824,wage slavery,SUBJECT,slavery by type
19825,wage slavery,SUBJECT,ethically disputed business practices
19826,wage slavery,SUBJECT,socialism
19827,downshifting (lifestyle),CLOSELY_RELATED_TO,human factors
19828,slow living,CLOSELY_RELATED_TO,human factors
19829,slow living,SUBJECT,slow movement
19830,at-will employment,CLOSELY_RELATED_TO,human factors
19831,at-will employment,SUBJECT,ethically disputed business practices
19832,at-will employment,SUBJECT,human resource management
19833,at-will employment,SUBJECT,united states labor law
19834,dismissal (employment),CLOSELY_RELATED_TO,human factors
